name,food_type,category_name,half,full,base_price
Paneer Butter Masala,Vegetarian,Main Course (Veg),,,240
Kadai Paneer,Vegetarian,Main Course (Veg),,,260
Dal Makhani,Vegetarian,Main Course (Veg),,,220
Mix Vegetable,Vegetarian,Main Course (Veg),,,190
Soya Chaap Masala,Vegetarian,Main Course (Veg),,,200
Egg Curry,Non-Vegetarian,Main Course (Non-Veg),140,210,140
Butter Chicken,Non-Vegetarian,Main Course (Non-Veg),350,580,350
Chicken Korma,Non-Vegetarian,Main Course (Non-Veg),340,580,340
Chicken Kali Mirch,Non-Vegetarian,Main Course (Non-Veg),380,580,380
Chicken Curry,Non-Vegetarian,Main Course (Non-Veg),320,550,320
Mutton Rogan Josh,Non-Vegetarian,Main Course (Non-Veg),,,590
Chicken Lolipop,Non-Vegetarian,Snacks,,,220
Paneer Tikka Biryani,Vegetarian,Veg Biryani,280,430,280
Shahi Veg Biryani,Vegetarian,Veg Biryani,280,430,280
Soya Chaap Biryani,Vegetarian,Veg Biryani,280,430,280
Nawabi Chicken Dum Biryani,Non-Vegetarian,Non-Veg Biryani,290,490,290
Nizami Chicken Dum Biryani,Non-Vegetarian,Non-Veg Biryani,290,490,290
Chicken Dum Biryani,Non-Vegetarian,Non-Veg Biryani,290,490,290
Egg Biryani,Non-Vegetarian,Non-Veg Biryani,249,399,249
Mutton Dum Biryani,Non-Vegetarian,Non-Veg Biryani,330,550,330
Tawa Roti,Vegetarian,Breads,,,25
Plain Curd,Vegetarian,Extras,,,30
Raita,Vegetarian,Extras,,,50
Chutney,Vegetarian,Extras,,,30
