id,name,tag_line,logo,image,description,address,tin_no,status,is_deleted,created_on,updated_on,closing_time,opening_time,cost_for_two,delivery_time,minimum_order
50,           Mithaas         ,"Mithai, North Indian, South Indian, Street Food, Chinese",images/FjTJUDqJ.jpg,images/FjTJUDqJ.jpg,"Mithai, North Indian, South Indian, Street Food, Chinese","                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,8:00,300,40,50
51,           Domino's Pizza         ,"Fast Food, Pizza",images/MkzDysWB.jpg,images/MkzDysWB.jpg,"Fast Food, Pizza","                                                 Sector 61, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,30,50
52,           Burger King         ,"Fast Food, Burger, Beverages",images/ZvSdQHTO.jpg,images/ZvSdQHTO.jpg,"Fast Food, Burger, Beverages","                                                 Sector 18, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,99
53,           Boxmeal         ,"North Indian, Chinese",images/TDUGVxjR.jpg,images/TDUGVxjR.jpg,"North Indian, Chinese","                                                 Sector 62, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,1:00,8:00,200,45,99
54,           Indian Smith         ,"North Indian, Chinese",images/SrYSouVq.jpg,images/SrYSouVq.jpg,"North Indian, Chinese","                                                 Sector 15, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,6:00,11:00,200,35,50
55,           Rolls Mania         ,"Rolls, Fast Food",images/eShUiYAv.jpg,images/eShUiYAv.jpg,"Rolls, Fast Food","                                                 Sector 72, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,2:00,11:00,200,30,50
56,           Aggarwal Bikaneri Sweets         ,"South Indian, Chinese, Street Food, Mithai",images/QRtMOpUa.jpg,images/QRtMOpUa.jpg,"South Indian, Chinese, Street Food, Mithai","                                                 Sector 27, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,8:00,200,50,50
57,           Bikanervala         ,"Mithai, North Indian, South Indian, Chinese, Street Food",images/yqMlAdFt.jpg,images/yqMlAdFt.jpg,"Mithai, North Indian, South Indian, Chinese, Street Food","                                                 Sector 18, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,8:00,250,60,99
58,           Biryani Blues         ,"Biryani, Hyderabadi",images/gUfvYboi.jpg,images/gUfvYboi.jpg,"Biryani, Hyderabadi",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,300,35,50
59,           Wakhra Swaad         ,"North Indian, Mughlai, Momos",images/exukiTqk.jpg,images/exukiTqk.jpg,"North Indian, Mughlai, Momos","                                                 Sector 18, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,10:00,200,45,50
60,           Goli Vada Pav No. 1         ,Street Food,images/dXyAoYCZ.jpg,images/dXyAoYCZ.jpg,Street Food,"                                                 Sector 37, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,9:00,150,50,99
61,           Bistro 37         ,"Continental, Chinese",images/BIJepIJQ.jpg,images/BIJepIJQ.jpg,"Continental, Chinese","                                                 Sector 110, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,8:00,200,30,50
62,           Mishthanpur         ,North Indian,images/vCnIuOFB.jpg,images/vCnIuOFB.jpg,North Indian,"                                                 Sector 15, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,9:00,9:00,200,30,50
63,           Ram-G Samose Wala         ,Street Food,images/yALYLtyT.jpg,images/yALYLtyT.jpg,Street Food,"                                                 Sector 26, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,7:00,50,45,50
64,           Desi Dakaar         ,"Chinese, North Indian, Rolls",images/QGbmozAN.jpg,images/QGbmozAN.jpg,"Chinese, North Indian, Rolls","                                                 Sector 135, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,12:00,200,45,99
65,           The Food Stories         ,"North Indian, Chinese, Fast Food",images/AsJRqSHS.jpg,images/AsJRqSHS.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 63, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,9:00,200,45,99
66,           Kachori Kulcha Darbar         ,"Street Food, North Indian",images/gnCMjIAk.jpg,images/gnCMjIAk.jpg,"Street Food, North Indian","                                                 Sector 49, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,7:00,100,50,50
67,           Om Sai Restaurant         ,"North Indian, Chinese, Fast Food",images/fGbHkfEV.jpg,images/fGbHkfEV.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 52, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,9:00,200,40,50
68,           Maa Ka Khaana         ,North Indian,images/dTZuUAMC.jpg,images/dTZuUAMC.jpg,North Indian,"                                                 Sector 72, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,100,45,50
69,           Subway         ,"Fast Food, Healthy Food, Sandwich, Salad",images/EBINANKf.jpg,images/EBINANKf.jpg,"Fast Food, Healthy Food, Sandwich, Salad","                                                 Sector 110, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,50,50
70,           Theos         ,"Cafe, Desserts, Continental, Beverages",images/MrUauZrS.jpg,images/MrUauZrS.jpg,"Cafe, Desserts, Continental, Beverages",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,450,30,50
71,           Pizzasia         ,Pizza,images/dsMHYmfZ.jpg,images/dsMHYmfZ.jpg,Pizza,"                                                 Sector 135, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,12:00,200,45,50
72,           Culinate         ,"Continental, Thai, Italian, Salad",images/IhEMYBKR.jpg,images/IhEMYBKR.jpg,"Continental, Thai, Italian, Salad","                                                 Sector 63, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,9:00,350,60,99
73,           Cafe 18         ,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages",images/MRCgYPQX.jpg,images/MRCgYPQX.jpg,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages","                                                 Sector 49, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,7:00,200,45,50
74,           Delish BBQ         ,"North Indian, Chinese, Momos",images/owkBlRcQ.jpg,images/owkBlRcQ.jpg,"North Indian, Chinese, Momos",                                                 Noida                                                ,201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,10:00,200,45,99
75,           The Food Stories         ,"North Indian, Chinese, Fast Food",images/JqAmVBgF.jpg,images/JqAmVBgF.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 132, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,8:00,200,45,99
76,           Kachori Kulcha Darbar         ,"Street Food, North Indian",images/XnuitZMc.jpg,images/XnuitZMc.jpg,"Street Food, North Indian","                                                 Sector 50, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,3:00,11:00,100,50,50
77,           Om Sai Restaurant         ,"North Indian, Chinese, Fast Food",images/ckPANFXX.jpg,images/ckPANFXX.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 56, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,40,50
78,           Maa Ka Khaana         ,North Indian,images/DLTeWEQU.jpg,images/DLTeWEQU.jpg,North Indian,"                                                 Sector 18, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,8:00,100,45,50
79,           Subway         ,"Fast Food, Healthy Food, Sandwich, Salad",images/EzAMTXKd.jpg,images/EzAMTXKd.jpg,"Fast Food, Healthy Food, Sandwich, Salad","                                                 Sector 53, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,150,50,50
80,           Theos         ,"Cafe, Desserts, Continental, Beverages",images/leqeZBaT.jpg,images/leqeZBaT.jpg,"Cafe, Desserts, Continental, Beverages","                                                 Sector 110, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,9:00,450,30,50
81,           Pizzasia         ,Pizza,images/EvsgJLDC.jpg,images/EvsgJLDC.jpg,Pizza,"                                                 Sector 72, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,50
82,           Culinate         ,"Continental, Thai, Italian, Salad",images/XnuWggaj.jpg,images/XnuWggaj.jpg,"Continental, Thai, Italian, Salad","                                                 Sector 22, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,10:00,350,60,99
83,           Cafe 18         ,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages",images/jleRUqnq.jpg,images/jleRUqnq.jpg,"Fast Food, Chinese, North Indian, Rolls, Momos, Beverages","                                                 Sector 25, Noida                                                ",201301,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,11:00,200,45,50
