id,name,tag_line,logo,image,description,address,status,is_deleted,created_on,updated_on,closing_time,cost_for_two,delivery_time,minimum_order,opening_time
50,           Mithaas         ,"Mithai, North Indian, South Indian, Street Food, Chinese",FjTJUDqJ.jpg,FjTJUDqJ.jpg,"Mithai, North Indian, South Indian, Street Food, Chinese","                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,10:00,300,40,50,8:00
51,           Domino's Pizza         ,"Fast Food, Pizza",MkzDysWB.jpg,MkzDysWB.jpg,"Fast Food, Pizza","                                                 Sector 61, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,30,50,11:00
52,           Burger King         ,"Fast Food, Burger, Beverages",ZvSdQHTO.jpg,ZvSdQHTO.jpg,"Fast Food, Burger, Beverages","                                                 Sector 18, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,45,99,11:00
53,           Boxmeal         ,"North Indian, Chinese",TDUGVxjR.jpg,TDUGVxjR.jpg,"North Indian, Chinese","                                                 Sector 62, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,1:00,200,45,99,8:00
54,           Indian Smith         ,"North Indian, Chinese",SrYSouVq.jpg,SrYSouVq.jpg,"North Indian, Chinese","                                                 Sector 15, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,6:00,200,35,50,11:00
55,           Rolls Mania         ,"Rolls, Fast Food",eShUiYAv.jpg,eShUiYAv.jpg,"Rolls, Fast Food","                                                 Sector 72, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,2:00,200,30,50,11:00
56,           Aggarwal Bikaneri Sweets         ,"South Indian, Chinese, Street Food, Mithai",QRtMOpUa.jpg,QRtMOpUa.jpg,"South Indian, Chinese, Street Food, Mithai","                                                 Sector 27, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,50,50,8:00
57,           Bikanervala         ,"Mithai, North Indian, South Indian, Chinese, Street Food",yqMlAdFt.jpg,yqMlAdFt.jpg,"Mithai, North Indian, South Indian, Chinese, Street Food","                                                 Sector 18, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,250,60,99,8:00
58,           Biryani Blues         ,"Biryani, Hyderabadi",gUfvYboi.jpg,gUfvYboi.jpg,"Biryani, Hyderabadi",                                                 Noida                                                ,True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,300,35,50,11:00
59,           Wakhra Swaad         ,"North Indian, Mughlai, Momos",exukiTqk.jpg,exukiTqk.jpg,"North Indian, Mughlai, Momos","                                                 Sector 18, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,50,10:00
60,           Goli Vada Pav No. 1         ,Street Food,dXyAoYCZ.jpg,dXyAoYCZ.jpg,Street Food,"                                                 Sector 37, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,4:00,150,50,99,9:00
61,           Bistro 37         ,"Continental, Chinese",BIJepIJQ.jpg,BIJepIJQ.jpg,"Continental, Chinese","                                                 Sector 110, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,200,30,50,8:00
62,           Mishthanpur         ,North Indian,vCnIuOFB.jpg,vCnIuOFB.jpg,North Indian,"                                                 Sector 15, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,9:00,200,30,50,9:00
63,           Ram-G Samose Wala         ,Street Food,yALYLtyT.jpg,yALYLtyT.jpg,Street Food,"                                                 Sector 26, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,11:00,50,45,50,7:00
64,           Desi Dakaar         ,"Chinese, North Indian, Rolls",QGbmozAN.jpg,QGbmozAN.jpg,"Chinese, North Indian, Rolls","                                                 Sector 135, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,99,12:00
65,           The Food Stories         ,"North Indian, Chinese, Fast Food",AsJRqSHS.jpg,AsJRqSHS.jpg,"North Indian, Chinese, Fast Food","                                                 Sector 63, Noida                                                ",True,False,2019-05-16 12:20:24.966978+05:30,2019-05-16 12:20:24.966978+05:30,12:00,200,45,99,9:00
