id,latitude,longitude
50,28.6180456000,77.3706529000
51,30.2458000000,77.3651500000
52,28.5687828511,77.3244957626
53,28.6180920000,77.3698114000
54,28.5834895000,77.3121276000
55,28.5717523792,77.3825595528
56,28.5719440632,77.3248907179
57,28.5717105678,77.3247613013
58,28.5702770000,77.3623100000
59,28.5697633788,77.3255455121
60,28.5656374451,77.3400321230
61,28.5399382952,77.3669873178
62,28.5809250000,77.3147410000
63,28.4960148889,77.4020592123
64,28.6160565512,77.3851381615
65,28.5614430000,77.3730290000
66,28.5712497589,77.3819225281
67,28.5424659626,77.3700557649
68,28.5693330000,77.3254720000
69,28.5699750892,77.3265174776
70,28.4960148889,77.4020592123
71,28.6160565512,77.3851381615
72,28.5614430000,77.3730290000
73,28.5712497589,77.3819225281
74,28.5424659626,77.3700557649
75,28.5693330000,77.3254720000
76,28.5699750892,77.3265174776
77,28.5123980000,77.3766930000
78,28.5700310348,77.3265107721
79,28.5706260000,77.3620620000
80,28.6033255000,77.3427967000
81,28.5706646000,77.3598813000
82,28.5701123032,77.3266552761
83,28.5956189216,77.3624399677
84,28.5388429146,77.3649394512
85,28.6268988044,77.3739194870
86,28.5723503969,77.3879906908
87,28.5937159000,77.3499590000
88,28.5592052947,77.3765849322
89,28.5695734575,77.3252259940
90,28.6169958672,77.3882401084
91,28.6181946000,77.3698884000
92,28.5706646000,77.3598813000
93,28.5701123032,77.3266552761
94,28.5956189216,77.3624399677
95,28.5388429146,77.3649394512
96,28.6268988044,77.3739194870
97,28.5723503969,77.3879906908
98,28.5937159000,77.3499590000
99,28.5592052947,77.3765849322
100,28.5800356973,77.3236116394
101,28.6169958672,77.3882401084
102,28.6181946000,77.3698884000
103,28.6283979138,77.3741233349
104,28.5654740180,77.3771589249
105,28.5400222376,77.3673370108
106,28.5516210000,77.3549220000
107,28.5711375745,77.3888201639
108,28.5971820625,77.3379899561
109,28.5762737920,77.3343495280
110,28.6162360000,77.3849870000
111,28.6139471261,77.3612762243
112,28.5807990000,77.3232490000
113,28.5354742310,77.3456402868
114,28.5654740180,77.3771589249
115,28.5400222376,77.3673370108
116,28.5516210000,77.3549220000
117,28.5711375745,77.3888201639
118,28.5971820625,77.3379899561
119,28.5762737920,77.3343495280
120,28.6162360000,77.3849870000
121,28.6139471261,77.3612762243
122,28.5807990000,77.3232490000
123,28.5354742310,77.3456402868
124,28.6178548000,77.3872789000
125,28.5741314745,77.3537040129
126,28.5006379642,77.4108377472
127,28.5725205855,77.3267059028
128,28.5066461861,77.4087556824
129,28.5695569682,77.3243831098
130,28.5592140000,77.3765840000
131,28.5066618014,77.4089766294
132,28.4960313897,77.4020320550
133,28.5704690000,77.3619751000
134,28.6241359000,77.3719537000
135,28.5665037515,77.3817592487
136,28.5741314745,77.3537040129
137,28.5006379642,77.4108377472
138,28.5725205855,77.3267059028
139,28.5695569682,77.3243831098
140,28.5592140000,77.3765840000
141,28.5066618014,77.4089766294
142,28.6241359000,77.3719537000
143,28.5701940000,77.3623421000
144,28.5977219441,77.3859344423
145,28.5817500000,77.3137220000
146,28.5718271684,77.3223111033
147,28.5654319098,77.3402098194
148,28.5807780000,77.3745830000
149,28.5790558000,77.3693187000
150,28.5489039682,77.3559358653
151,28.5948655000,77.3415331000
152,28.5744340000,77.3535930000
153,28.5701940000,77.3623421000
154,28.5977219441,77.3859344423
155,28.5817500000,77.3137220000
156,28.5560360000,77.3741760000
157,28.5718271684,77.3223111033
158,28.5654319098,77.3402098194
159,28.5807780000,77.3745830000
160,28.5489039682,77.3559358653
161,28.5948655000,77.3415331000
162,28.5788540000,77.3393170000
163,28.5614986872,77.3608869687
164,28.5043442337,77.4094114825
165,28.5656680692,77.3400314525
166,28.5709388000,77.3600045000
167,28.5789970000,77.3168090000
168,28.5682422320,77.3239787668
169,28.5692327000,77.3616483000
170,28.5049939003,77.4143286422
171,28.5700145456,77.3266479000
172,28.5136961001,77.3762999475
173,28.5411052357,77.3678985983
174,28.5976980999,77.3354408517
175,28.5614986872,77.3608869687
176,28.5043442337,77.4094114825
177,28.5656680692,77.3400314525
178,28.5709388000,77.3600045000
179,28.5789970000,77.3168090000
180,28.5682422320,77.3239787668
181,28.5692327000,77.3616483000
182,28.5049939003,77.4143286422
183,28.5700145456,77.3266479000
184,28.5136961001,77.3762999475
185,28.5411052357,77.3678985983
186,28.5976980999,77.3354408517
187,28.6282719589,77.3752424866
188,28.5735890000,77.3266910000
189,28.5011515285,77.4009812996
190,28.6169708501,77.3882525136
191,28.5389167000,77.3643147000
192,28.5920960823,77.3343149483
193,28.5697951796,77.3254365474
194,28.5712105975,77.3830678314
195,28.5391633713,77.3654302955
196,28.5671047437,77.3349694535
197,28.5667761271,77.3213766888
198,28.5695384177,77.3243475705
199,28.5691835000,77.3610162000
200,28.5791586000,77.3694886000
201,28.5735890000,77.3266910000
202,28.5011515285,77.4009812996
203,28.6169708501,77.3882525136
204,28.5389167000,77.3643147000
205,28.5920960823,77.3343149483
206,28.5697951796,77.3254365474
207,28.5712105975,77.3830678314
208,28.5391633713,77.3654302955
209,28.5671047437,77.3349694535
210,28.5667761271,77.3213766888
211,28.5695384177,77.3243475705
212,28.5691835000,77.3610162000
213,28.5791586000,77.3694886000
214,28.5516156586,77.3512491211
215,28.6032230000,77.3407743000
216,28.5932756386,77.3435411230
217,28.4904404106,77.4131776392
218,28.5972112056,77.3379430175
219,28.5952035520,77.3427592590
220,28.5655140651,77.3399171233
221,28.5990702000,77.3446655000
222,28.6096208351,77.3759310630
223,28.5914410118,77.3808623850
224,28.6207923756,77.3552630469
225,28.5699111000,77.3621866000
226,28.5665230000,77.3152880000
227,28.5932756386,77.3435411230
228,28.4904404106,77.4131776392
229,28.5952035520,77.3427592590
230,28.5655140651,77.3399171233
231,28.5990702000,77.3446655000
232,28.6096208351,77.3759310630
233,28.5914410118,77.3808623850
234,28.5665230000,77.3152880000
235,28.6209340000,77.3651416000
236,28.5743614312,77.3284087703
237,28.5421075000,77.3681031000
238,28.6268988044,77.3739194870
239,28.5610937000,77.3568863000
240,28.5742840000,77.3541200000
241,28.5743614312,77.3284087703
242,28.5765947237,77.3348906636
243,28.5421075000,77.3681031000
244,28.6268988044,77.3739194870
245,28.5655000000,77.3400560000
246,28.5653750000,77.3791810000
247,28.6054307045,77.3575318605
248,28.5679627932,77.3230835795
249,28.5781400000,77.3625500000
250,28.5711343356,77.3832337931
251,28.5488930000,77.3439160000
252,28.5738128908,77.3246670887
253,28.5719007798,77.3840411380
254,28.5704840000,77.3617580000
255,28.5679627932,77.3230835795
256,28.6179961000,77.3677639000
257,28.5971487981,77.3382280022
258,28.5988553000,77.3433403000
259,28.5488930000,77.3439160000
260,28.5738128908,77.3246670887
261,28.5719007798,77.3840411380
262,28.5006070265,77.4101229385
263,28.5704840000,77.3617580000
264,28.5535690733,77.3398131877
265,28.5931537629,77.3646641895
266,28.5861718749,77.3409031704
267,28.5678579667,77.3209951445
268,28.6193030000,77.3703110000
269,28.5683608975,77.3353483155
270,28.5697951796,77.3254365474
271,28.5712105975,77.3830678314
272,28.5391633713,77.3654302955
273,28.5671047437,77.3349694535
274,28.5667761271,77.3213766888
275,28.5695384177,77.3243475705
276,28.5691835000,77.3610162000
277,28.5791586000,77.3694886000
278,28.5735890000,77.3266910000
279,28.5011515285,77.4009812996
280,28.6169708501,77.3882525136
281,28.5389167000,77.3643147000
282,28.5920960823,77.3343149483
283,28.5697951796,77.3254365474
284,28.5712105975,77.3830678314
285,28.5391633713,77.3654302955
286,28.5671047437,77.3349694535
287,28.5667761271,77.3213766888
288,28.5695384177,77.3243475705
289,28.5691835000,77.3610162000
290,28.5791586000,77.3694886000
291,28.5516156586,77.3512491211
292,28.6032230000,77.3407743000
293,28.5932756386,77.3435411230
294,28.4904404106,77.4131776392
295,28.5972112056,77.3379430175
296,28.5952035520,77.3427592590
297,28.5655140651,77.3399171233
298,28.5990702000,77.3446655000
299,28.6096208351,77.3759310630
300,28.5914410118,77.3808623850
301,28.6207923756,77.3552630469
302,28.5699111000,77.3621866000
303,28.5665230000,77.3152880000
304,28.5932756386,77.3435411230
305,28.4904404106,77.4131776392
306,28.5952035520,77.3427592590
307,28.5655140651,77.3399171233
308,28.5990702000,77.3446655000
309,28.6096208351,77.3759310630
310,28.5914410118,77.3808623850
311,28.5665230000,77.3152880000
312,28.6209340000,77.3651416000
313,28.5743614312,77.3284087703
314,28.5421075000,77.3681031000
315,28.6268988044,77.3739194870
316,28.5610937000,77.3568863000
317,28.5742840000,77.3541200000
318,28.5743614312,77.3284087703
319,28.5765947237,77.3348906636
320,28.5421075000,77.3681031000
321,28.6268988044,77.3739194870
322,28.5655000000,77.3400560000
323,28.5653750000,77.3791810000
324,28.6054307045,77.3575318605
325,28.5679627932,77.3230835795
326,28.5781400000,77.3625500000
327,28.5711343356,77.3832337931
328,28.5488930000,77.3439160000
329,28.5738128908,77.3246670887
330,28.5719007798,77.3840411380
331,28.5704840000,77.3617580000
332,28.5679627932,77.3230835795
333,28.6179961000,77.3677639000
334,28.5971487981,77.3382280022
335,28.5988553000,77.3433403000
336,28.5488930000,77.3439160000
337,28.5738128908,77.3246670887
338,28.5719007798,77.3840411380
339,28.5006070265,77.4101229385
340,28.5704840000,77.3617580000
341,28.5535690733,77.3398131877
342,28.5931537629,77.3646641895
343,28.5861718749,77.3409031704
344,28.5678579667,77.3209951445
345,28.6193030000,77.3703110000
346,28.5683608975,77.3353483155
347,28.5738128908,77.3246670887
348,28.5719007798,77.3840411380
349,28.5704840000,77.3617580000
350,28.5679627932,77.3230835795
351,28.6179961000,77.3677639000
352,28.5971487981,77.3382280022
353,28.5988553000,77.3433403000
354,28.5488930000,77.3439160000
355,28.5738128908,77.3246670887
356,28.5719007798,77.3840411380
357,28.5006070265,77.4101229385
358,28.5704840000,77.3617580000
359,28.5535690733,77.3398131877
360,28.5931537629,77.3646641895
361,28.5861718749,77.3409031704
362,28.5678579667,77.3209951445
363,28.6193030000,77.3703110000
